# Simulation 4 (Up to date)
# 1037 data points written for 6 variables.
# Simulation warnings:
#   Discontinuity in rocket body diameter:  "Upper Section(1), Clear Section"
#   Discontinuity in rocket body diameter:  "Clear Section, Upper Section (2)"
#   Too many parallel fins
#   Recovery device deployment at high speed (73.3 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (G),Position East of launch (ft),Position North of launch (ft)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.005,0.919,2.857,0,0
0.02,0.025,3.081,6.72,0,0
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.066,5.246,6.73,0,0
0.04,0.13,7.414,6.74,0,0
0.05,0.215,9.585,6.75,0,0
0.06,0.321,11.76,6.76,0,0
0.07,0.45,13.938,6.771,0,0
0.08,0.6,16.119,6.781,0,0
0.09,0.772,18.303,6.791,0,0
0.1,0.966,20.491,6.801,0,0
0.11,1.182,22.682,6.811,0,0
0.12,1.42,24.876,6.821,0,0
0.13,1.679,27.074,6.832,0,0
0.14,1.961,29.275,6.841,0,0
0.15,2.265,31.479,6.851,0,0
0.16,2.591,33.685,6.861,0,0
0.17,2.929,35.838,6.87,0,0
0.179,3.267,37.864,6.879,0,0
# Event LAUNCHROD occurred at t=0.188 seconds
0.188,3.603,39.783,6.887,0,0
0.201,4.139,42.667,6.898,-1.997e-5,0
0.22,5.013,47.003,6.915,-1.278e-4,0
0.249,6.483,53.527,6.939,-4.784e-4,0
0.293,9.047,63.361,6.974,-0.001,0
0.343,12.496,74.638,7.016,-0.003,-1.192e-8
0.393,16.512,85.985,7.06,-0.006,-3.019e-8
0.443,21.096,97.399,7.101,-0.01,-6.002e-8
0.493,26.253,108.878,7.142,-0.015,-1.029e-7
0.543,31.986,120.418,7.18,-0.021,-1.565e-7
0.593,38.296,132.018,7.217,-0.028,-2.156e-7
0.643,45.189,143.675,7.252,-0.035,-2.836e-7
0.693,52.665,155.385,7.285,-0.045,-3.641e-7
0.743,60.728,167.148,7.318,-0.054,-4.57e-7
0.793,69.381,178.958,7.347,-0.065,-5.758e-7
0.843,78.625,190.814,7.376,-0.077,-7.53e-7
0.893,88.463,202.714,7.402,-0.088,-1.017e-6
0.943,98.897,214.653,7.427,-0.1,-1.406e-6
0.993,109.929,226.629,7.45,-0.111,-1.947e-6
1.043,121.561,238.639,7.47,-0.121,-2.693e-6
1.093,133.794,250.68,7.49,-0.129,-3.682e-6
1.143,146.63,262.749,7.507,-0.135,-4.963e-6
1.193,160.069,274.843,7.522,-0.138,-6.566e-6
1.243,174.114,286.959,7.536,-0.138,-8.58e-6
